"r" "obs" "theo" "lo" "hi"
"229" 56744.1659314473 62153210780.7074 10115615339.0614 9780119048.76251 10546243064.3397
"230" 56993.0438521993 62236140768.7312 10204543397.8862 9860066545.98975 10643706568.7717
"231" 57241.9217729512 62312649925.5586 10293860638.5877 9944403627.44256 10737042327.9528
"232" 57490.7996937032 62403506604.9817 10383567061.166 10016321677.1015 10814567108.4806
"233" 57739.6776144552 62475972499.3899 10473662665.6209 10097091097.2603 10886300262.5692
"234" 57988.5555352071 62557730695.0067 10564147451.9526 10176154082.8075 10988268040.9511
"235" 58237.4334559591 62651029220.3818 10655021420.1609 10260873803.6161 11073338147.8183
"236" 58486.3113767111 62740825826.4347 10746284570.2459 10349972331.3161 11168860274.3945
"237" 58735.189297463 62826084322.996 10837936902.2076 10460285133.5483 11270488608.3078
"238" 58984.067218215 62914475241.3295 10929978416.046 10542549358.4449 11346833283.9359
"239" 59232.9451389669 63013109007.5942 11022409111.7611 10647261819.6041 11433722760.8067
"240" 59481.8230597189 63101605313.857 11115228989.3529 10740594439.0811 11524435348.5313
"241" 59730.7009804709 63184768417.3633 11208438048.8214 10854049434.7316 11617713237.0573
"242" 59979.5789012228 63265376675.3103 11302036290.1666 10956591908.2783 11701561105.6335
"243" 60228.4568219748 63345205994.7352 11396023713.3885 11044416682.6698 11792399018.3674
"244" 60477.3347427268 63426492741.6449 11490400318.4871 11120900761.3298 11902584675.3867
"245" 60726.2126634787 63495952958.6251 11585166105.4624 11198568548.3713 11968781325.975
"246" 60975.0905842307 63576158227.0213 11680321074.3144 11305809723.23 12056192298.8683
"247" 61223.9685049826 63660990111.5739 11775865225.043 11416497644.7695 12152241196.7481
"248" 61472.8464257346 63737539458.5932 11871798557.6484 11508151384.2275 12238182073.5688
"249" 61721.7243464866 63830413594.4278 11968121072.1305 11618198321.2548 12328716399.5976
"250" 61970.6022672385 63909326897.448 12064832768.4892 11696692270.356 12425419343.369
"251" 62219.4801879905 64005646615.1086 12161933646.7247 11782750794.2107 12518778996.6493
"252" 62468.3581087424 64089178148.4439 12259423706.8368 11905031031.6244 12621315621.135
"253" 62717.2360294944 64168378775.403 12357302948.8256 11995226875.5748 12709432640.242
"254" 62966.1139502464 64255863241.6193 12455571372.6912 12085679038.5485 12813985632.0573
"255" 63214.9918709983 64335718620.9254 12554228978.4334 12183149497.4497 12914956439.8074
"256" 63463.8697917503 64423473372.227 12653275766.0523 12266923653.4453 13002372933.2522
"257" 63712.7477125023 64523787059.0373 12752711735.548 12358456247.408 13095293800.2089
"258" 63961.6256332542 64607402821.2617 12852536886.9203 12463030491.8001 13193091894.0697
"259" 64210.5035540062 64679136461.4952 12952751220.1693 12546069942.2598 13290835166.1983
"260" 64459.3814747581 64770065546.4947 13053354735.295 12651500426.7742 13381505488.039
"261" 64708.2593955101 64858640961.6298 13154347432.2974 12765364945.3188 13496581464.5232
"262" 64957.1373162621 64940846276.0699 13255729311.1765 12867854716.8975 13619030799.3397
"263" 65206.015237014 65029618486.1119 13357500371.9323 12965956061.5421 13731611211.047
"264" 65454.893157766 65106533094.1657 13459660614.5648 13063170594.1652 13829678986.4251
"265" 65703.771078518 65195403220.3807 13562210039.0739 13153398430.462 13931461587.3903
"266" 65952.6489992699 65277959802.3382 13665148645.4598 13251292762.592 14045984675.2068
"267" 66201.5269200219 65367917931.0167 13768476433.7224 13354524938.8811 14155322272.9012
"268" 66450.4048407738 65457293913.3966 13872193403.8617 13467516085.3995 14279895048.6358
"269" 66699.2827615258 65535778096.3909 13976299555.8776 13567783961.3389 14390833042.7763
"270" 66948.1606822778 65628370995.9043 14080794889.7703 13674331172.1721 14491863176.2061
"271" 67197.0386030297 65693111561.7389 14185679405.5396 13766284805.0729 14601344524.628
"272" 67445.9165237817 65773619750.6348 14290953103.1857 13850451582.6978 14725960007.9159
"273" 67694.7944445336 65849986821.088 14396615982.7084 13988020816.8195 14862016756.5392
"274" 67943.6723652856 65934955550.7732 14502668044.1079 14094842567.0484 14974244549.0142
"275" 68192.5502860376 66028383328.512 14609109287.384 14214618831.5992 15074145932.1968
"276" 68441.4282067895 66119369839.3457 14715939712.5368 14319571460.379 15177773270.174
"277" 68690.3061275415 66202350936.1977 14823159319.5664 14440620521.3724 15293526657.3922
"278" 68939.1840482934 66279254370.2 14930768108.4726 14551566037.8719 15389983775.1349
"279" 69188.0619690454 66376469505.7391 15038766079.2555 14650323110.9211 15488303220.0821
"280" 69436.9398897974 66453188349.9939 15147153231.9151 14767758109.3641 15590935522.7678
"281" 69685.8178105493 66527616774.8581 15255929566.4514 14875248133.9055 15698785224.4343
"282" 69934.6957313013 66614783695.4055 15365095082.8644 14972714492.3655 15789566676.8556
"283" 70183.5736520533 66698561999.9186 15474649781.1541 15100762296.5253 15901201923.3317
"284" 70432.4515728052 66769139023.2998 15584593661.3205 15219333973.1563 16009816627.4417
"285" 70681.3294935572 66843454981.9491 15694926723.3636 15319057656.8623 16137653301.908
"286" 70930.2074143091 66924380630.7807 15805648967.2834 15422122367.2433 16249862078.4523
"287" 71179.0853350611 66982729349.3297 15916760393.0798 15519784168.3865 16351509899.1079
"288" 71427.9632558131 67059639526.8681 16028261000.753 15629768926.3876 16457442582.4978
"289" 71676.841176565 67140718531.1907 16140150790.3029 15747550810.9111 16561759720.8241
"290" 71925.719097317 67213604594.4699 16252429761.7294 15836625718.9639 16681370013.0073
"291" 72174.597018069 67298288056.5658 16365097915.0327 15931733750.8414 16807559660.5899
"292" 72423.4749388209 67374327934.4375 16478155250.2127 16046857217.4931 16935344001.0756
"293" 72672.3528595729 67447699833.3692 16591601767.2693 16155665222.3129 17037428983.7669
"294" 72921.2307803248 67529263202.1213 16705437466.2026 16255937618.2202 17156672029.7691
"295" 73170.1087010768 67596708570.0742 16819662347.0127 16361597413.1772 17277679344.7848
"296" 73418.9866218288 67661036698.863 16934276409.6994 16482741779.3058 17400098491.7038
"297" 73667.8645425807 67732314597.6993 17049279654.2628 16609452719.7881 17521348494.2493
"298" 73916.7424633327 67793283283.311 17164672080.703 16735698974.3694 17635744541.8162
"299" 74165.6203840847 67853057469.3934 17280453689.0198 16827406713.451 17746328178.5058
"300" 74414.4983048366 67920043635.8361 17396624479.2133 16939090663.6081 17857509072.4775
"301" 74663.3762255886 68001108838.458 17513184451.2835 17056834607.5683 17971696221.5427
"302" 74912.2541463405 68054745719.1497 17630133605.2304 17185301853.9546 18102654948.8074
"303" 75161.1320670925 68116496742.0023 17747471941.054 17304829928.6688 18238815635.879
"304" 75410.0099878445 68194812940.7641 17865199458.7543 17412713600.166 18356218723.9981
"305" 75658.8879085964 68258871468.2289 17983316158.3313 17544662068.2795 18487550156.6392
"306" 75907.7658293484 68324298341.5639 18101822039.785 17683358384.0078 18587579715.738
"307" 76156.6437501004 68405558318.0115 18220717103.1154 17788498726.7592 18759879998.7117
"308" 76405.5216708523 68461768806.7573 18340001348.3224 17914442207.9481 18880271759.0367
"309" 76654.3995916043 68523486530.7223 18459674775.4062 18036472054.32 18986120589.2722
"310" 76903.2775123562 68598318916.0629 18579737384.3667 18141067166.274 19121041718.6078
"311" 77152.1554331082 68661937169.1803 18700189175.2038 18256550007.6477 19260867202.8458
"312" 77401.0333538602 68725006354.5414 18821030147.9177 18386496124.6159 19380898729.5676
"313" 77649.9112746121 68778733521.5241 18942260302.5082 18517735929.466 19487610717.0652
"314" 77898.7891953641 68840937496.3507 19063879638.9755 18634694937.7514 19599837645.4124
"315" 78147.667116116 68905677814.078 19185888157.3194 18753122051.1472 19716995687.5024
"316" 78396.545036868 68951671732.1936 19308285857.5401 18856743212.3853 19845313136.1882
"317" 78645.42295762 69010117326.5701 19431072739.6374 18956722017.4665 19981602724.6237
"318" 78894.3008783719 69075236644.8221 19554248803.6114 19086006138.3274 20100424614.1562
"319" 79143.1787991239 69133715694.8212 19677814049.4621 19212983035.9692 20215384829.8748
"320" 79392.0567198759 69201431354.3264 19801768477.1896 19356886181.7149 20341607327.9149
"321" 79640.9346406278 69273391275.1574 19926112086.7937 19472395555.2961 20473624629.7163
"322" 79889.8125613798 69341555238.5282 20050844878.2745 19579943875.4902 20585766990.0852
"323" 80138.6904821317 69401209482.3871 20175966851.632 19707627504.2275 20706474305.6068
