COD_MUN	COD_DEPTO	nbi	msnm
68432	68	21.24009	2206
99773	99	82.43018	161
54720	54	53.29685	300
5282	5	24.51823	1820
13654	13	94.38198	239
20710	20	34.2606	120
17013	17	22.9903	2181
20250	20	61.81672	37
5234	5	66.48932	412
85440	85	31.9227	300
54261	54	42.93039	204
20400	20	55.65174	140
5042	5	44.10495	570
19532	19	34.39163	987
5031	5	45.28549	1500
44090	44	66.52345	3
73349	73	18.82771	206
25377	25	13.3576	2581
20178	20	53.5151	33
70678	70	67.05502	22
70771	70	80.30408	19
23678	23	66.21582	12
23574	23	84.5985	9
13140	13	71.98749	8
25875	25	21.33599	799
17541	17	23.60696	2100
52683	52	42.31712	1800
5604	5	47.565	728
25513	25	22.21868	1791
70508	70	55.5018	258
13549	13	81.05133	20
8685	8	33.8413	6
5679	5	28.45821	1806
25386	25	23.68718	1275
52227	52	40.34258	3100
25817	25	20.00601	2564
8421	8	50.54326	31
8606	8	52.33124	10
13433	13	53.67523	10
5361	5	65.21512	1750
17777	17	24.29828	1184
47318	47	63.88407	24
41359	41	46.62566	1900
5659	5	75.86115	7
47707	47	66.4891	25
73585	73	33.44273	310
44874	44	47.57145	235
68615	68	39.30605	655
19075	19	62.12908	1500
8634	8	39.8795	6
8520	8	37.66357	4
47745	47	66.88611	5
41020	41	49.20156	1078
63190	63	17.22969	1773
19212	19	53.58059	1052
19473	19	62.29279	1500
20238	20	51.16554	135
81794	81	100	325
73275	73	21.40236	290
47570	47	57.75762	1
66088	66	24.07263	1500
41524	41	30.21684	549
23500	23	77.14455	3
73616	73	65.9461	1250
8573	8	24.74015	4
15516	15	18.07329	2513
41006	41	64.09977	1563
19110	19	57.8929	1200
13670	13	65.92719	75
44078	44	54.14677	149
73555	73	60.16725	1224
5030	5	27.06904	1400
13688	13	55.42506	600
68077	68	18.79913	1579
85010	85	26.69142	278
17486	17	22.55517	1965
41306	41	30.70357	808
19397	19	70.62445	2200
85250	85	43.56107	275
5697	5	20.73322	2137
52399	52	38.03919	1727
5101	5	29.97798	1180
20228	20	47.88839	61
19355	19	68.44006	1800
76122	76	15.93503	1167
5895	5	64.29899	67
73217	73	71.74078	358
52490	52	65.55721	0
44650	44	44.78799	216
25740	25	16.65292	2574
68406	68	25.99177	1013
23672	23	65.63916	42
70820	70	47.46004	4
66594	66	33.47292	1850
19807	19	36.04089	1798
70742	70	51.17588	140
44279	44	43.37181	181
73283	73	28.20139	1478
73504	73	64.03788	400
25320	25	29.84107	992
52250	52	80.99606	2
68689	68	29.14766	652
76233	76	24.98345	827
41668	41	42.48952	1627
73449	73	16.57529	324
8296	8	39.19304	87
5120	5	66.80632	114
76400	76	18.4075	963
5686	5	23.51899	2588
76318	76	21.42453	966
50573	50	32.79528	184
27025	27	97.17915	50
47058	47	59.21649	187
68755	68	15.0655	1215
19821	19	61.80844	1700
63401	63	22.38146	1175
76622	76	18.41887	945
66400	66	23.7013	900
19256	19	53.44505	1750
73443	73	23.50257	496
23675	23	70.70708	4
27361	27	88.0769	47
54810	54	56.7629	55
73319	73	33.94154	321
20060	20	50.19558	83
68575	68	48.97686	65
20175	20	66.63679	30
19137	19	69.87498	1700
63594	63	22.09505	1315
5665	5	82.49716	434
68190	68	45.7389	159
70429	70	73.96081	22
54003	54	48.44078	1395
17614	17	23.81922	1783
19517	19	64.2651	1400
41132	41	26.67393	531
19743	19	50.28635	2750
13657	13	67.8703	166
19130	19	63.73936	1800
5051	5	72.39527	6
86865	86	39.165	720
23570	23	63.03616	120
52079	52	73.86848	24
25843	25	20.94154	2559
17042	17	19.07585	1765
19455	19	50.2836	1094
5847	5	40.20036	2000
23855	23	76.17437	55
47551	47	47.55604	4
47053	47	61.39894	33
5756	5	33.74855	2492
5736	5	41.36702	681
19318	19	87.41807	4
23686	23	63.39525	9
23580	23	64.41105	90
81736	81	34.14998	224
5790	5	61.97091	97
5318	5	17.72545	2138
19548	19	37.98064	1865
5887	5	28.25643	2269
76895	76	17.33832	917
5034	5	30.49314	1350
63470	63	22.85505	1150
91001	91	37.64687	82
76736	76	18.23319	1613
5579	5	38.42953	113
73411	73	29.83397	1600
70670	70	70.7484	160
86001	86	27.91274	605
5308	5	15.43322	1400
19142	19	48.93775	1100
52838	52	41.31845	3051
