X	Y	Magnitud
914108,870000	805829,740000	1,800000
914120,250000	822417,830000	1,600000
914142,200000	852276,490000	2,100000
914296,140000	1015949,330000	1,600000
914306,080000	1024796,690000	1,900000
914500,450000	1175205,160000	1,700000
914696,470000	1299076,540000	2,100000
915221,540000	806934,870000	1,400000
915269,180000	872181,460000	1,800000
915420,430000	1029219,120000	1,500000
915473,700000	1074562,100000	1,500000
915481,860000	1081197,710000	1,100000
916316,860000	780393,420000	1,900000
916427,220000	927474,780000	1,500000
916513,960000	1014840,980000	1,200000
916630,560000	1113268,550000	2,000000
917446,820000	809145,150000	1,700000
917451,170000	815780,330000	1,600000
917989,560000	1286904,860000	1,800000
918564,460000	817991,330000	1,100000
918602,230000	871072,970000	2,200000
919015,330000	1236027,350000	2,200000
919839,080000	1011519,730000	1,600000
919851,800000	1023684,700000	1,700000
920805,770000	844530,530000	2,100000
920939,700000	1002671,380000	1,900000
920954,310000	1017048,110000	3,200000
920964,650000	1027001,250000	1,900000
920991,970000	1052437,190000	1,500000
921018,030000	1075661,470000	1,100000
921028,230000	1084508,850000	1,700000
922036,450000	989399,530000	2,100000
922104,530000	1055753,720000	2,000000
922451,070000	1314547,980000	1,900000
923181,070000	1024787,150000	1,900000
923200,500000	1043587,520000	1,800000
924124,890000	820199,500000	1,800000
924254,120000	987185,650000	2,000000
924334,150000	1066810,440000	2,300000
925221,190000	793658,500000	2,600000
925420,930000	1045797,030000	4,100000
926379,780000	868855,590000	2,200000
926385,150000	876596,590000	2,300000
926919,310000	1348827,440000	1,900000
927462,880000	824620,860000	1,800000
927556,190000	955112,170000	1,300000
927630,290000	1036947,610000	1,700000
928769,020000	1066805,790000	2,000000
929678,820000	811349,480000	2,000000
929859,230000	1048004,410000	1,800000
929862,450000	1051322,090000	2,100000
929878,840000	1067910,570000	1,200000
930129,260000	1279144,750000	2,700000
930752,030000	730623,280000	1,800000
930791,280000	812454,700000	1,400000
930946,570000	1024779,670000	1,600000
931118,860000	1188454,650000	1,500000
933177,140000	1038048,280000	1,400000
933238,620000	1102190,230000	1,200000
934129,130000	816876,230000	1,400000
934154,190000	861109,640000	2,000000
934160,950000	872168,050000	2,600000
934268,880000	1018141,430000	2,400000
934420,000000	1171861,820000	1,600000
935274,930000	876590,730000	1,500000
935278,360000	882119,940000	2,300000
935319,400000	942941,620000	2,700000
936485,010000	1014821,940000	1,200000
936488,670000	1019245,430000	2,300000
936758,990000	1280242,080000	1,500000
937089,190000	1512506,710000	2,600000
937217,950000	1589933,920000	2,500000
937239,030000	1602101,340000	3,900000
937772,750000	1201718,300000	2,100000
937777,620000	1206142,030000	2,000000
937931,990000	1334433,620000	1,600000
938573,600000	811344,840000	1,400000
938585,300000	834567,150000	1,700000
938712,860000	1025878,850000	1,900000
938719,190000	1033619,960000	1,500000
938720,110000	1034725,840000	2,300000
939058,330000	1352128,070000	2,000000
939714,120000	866635,590000	1,300000
939827,510000	1032513,190000	1,500000
940821,220000	858894,170000	1,600000
940930,630000	1024771,210000	1,500000
941122,160000	1230469,040000	1,900000
942031,580000	1013711,700000	1,300000
943156,850000	1034722,310000	1,300000
943226,160000	1118769,270000	3,100000
943332,480000	1229360,750000	2,100000
944165,750000	878797,270000	1,400000
944254,570000	1019239,370000	2,300000
944298,790000	1076744,630000	2,600000
945254,530000	833458,050000	1,500000
945275,200000	875479,210000	1,100000
945502,170000	1186227,460000	1,000000
945504,260000	1188439,290000	2,400000
945568,670000	1253689,130000	2,500000
946379,760000	862208,780000	1,700000
946464,200000	1005967,510000	1,100000
946542,330000	1109919,310000	2,800000
946775,970000	1348800,680000	3,500000
947502,080000	884324,650000	1,300000
947510,720000	900912,020000	1,500000
947714,370000	1185119,510000	1,400000
948600,880000	858890,260000	2,500000
948763,520000	1116552,840000	1,900000
949066,360000	1422900,050000	4,100000
949723,750000	883217,720000	1,100000
949728,670000	893170,110000	1,800000
949799,410000	1015917,970000	1,400000
949954,910000	1216083,180000	1,900000
950837,530000	888746,280000	1,200000
951028,650000	1178481,180000	1,600000
951111,480000	1271378,730000	2,500000
952334,260000	1389716,180000	3,600000
953155,840000	1060150,070000	1,300000
953183,840000	1101067,190000	1,800000
954172,200000	892062,170000	1,400000
954389,930000	1229350,390000	1,500000
955268,210000	856675,730000	1,600000
955276,010000	875474,480000	1,600000
955426,210000	1138665,530000	1,500000
955427,000000	1139771,410000	1,100000
955622,200000	1370911,020000	3,300000
956364,760000	816866,430000	2,000000
956498,830000	1086688,630000	3,100000
956550,980000	1162994,280000	1,000000
957012,580000	1635255,820000	2,400000
957505,240000	892060,710000	2,300000
957731,660000	1260313,560000	2,000000
957882,210000	1428420,570000	2,100000
958549,140000	663161,720000	2,400000
958599,910000	850039,620000	3,600000
959725,070000	886530,750000	2,000000
959730,390000	899800,470000	1,200000
960826,320000	859991,030000	1,800000
960839,570000	895376,780000	1,600000
960937,360000	1095532,830000	1,300000
962044,300000	1093320,460000	2,200000
963105,880000	1001534,580000	1,200000
963164,930000	1115437,140000	2,600000
963183,030000	1146401,600000	1,400000
963211,100000	1191742,990000	2,100000
963240,290000	1235979,180000	2,200000
964164,400000	872153,680000	2,800000
964176,100000	905327,790000	2,500000
964269,740000	1109907,180000	2,700000
965275,620000	872153,310000	3,100000
965283,070000	894269,340000	1,700000
965374,190000	1103271,410000	1,100000
965376,520000	1107694,860000	2,700000
965380,650000	1115435,910000	2,000000
965511,370000	1324452,130000	2,000000
966389,320000	879893,540000	1,300000
966391,480000	886528,340000	1,000000
966477,790000	1094423,960000	2,800000
966487,360000	1113223,600000	1,700000
966496,050000	1129811,610000	1,400000
966501,370000	1139764,460000	1,900000
966592,550000	1291273,120000	1,500000
966768,180000	1522424,790000	2,700000
967494,390000	859988,850000	2,400000
967500,800000	880998,990000	2,400000
967595,250000	1113223,030000	2,100000
967635,110000	1188422,660000	2,500000
967639,470000	1196163,900000	2,900000
968605,420000	858882,730000	2,700000
968617,400000	898691,440000	2,400000
968701,550000	1109904,900000	1,900000
968804,130000	1295695,430000	1,600000
969719,550000	868834,560000	2,100000
969847,600000	1187315,570000	1,300000
969872,600000	1233763,260000	1,700000
970835,730000	886526,980000	1,400000
972025,390000	1109903,390000	1,100000
973054,980000	875468,420000	3,000000
973181,920000	1218278,910000	1,700000
974168,350000	884314,490000	1,600000
974170,600000	893160,860000	2,300000
976389,260000	878785,000000	1,700000
976458,380000	1113219,210000	1,000000
976485,540000	1183994,840000	1,600000
978611,990000	880996,100000	1,100000
978676,340000	1119853,580000	2,300000
978683,450000	1140864,950000	1,500000
978687,280000	1151923,620000	3,900000
978784,200000	1387483,870000	2,200000
979863,710000	1335503,420000	2,000000
979874,150000	1359834,310000	1,400000
980835,460000	887630,410000	2,000000
980903,070000	1156346,360000	2,700000
980988,540000	1387482,880000	2,700000
981998,110000	1114323,290000	1,900000
982005,330000	1139758,030000	1,200000
982043,470000	1260299,570000	1,500000
983108,890000	1125381,540000	2,000000
983114,560000	1146392,900000	1,300000
983135,040000	1217169,090000	1,300000
984168,410000	886524,050000	1,200000
984194,020000	1026961,450000	1,500000
984218,500000	1133122,270000	1,500000
984221,300000	1144180,880000	1,300000
984222,430000	1148604,340000	1,700000
984236,650000	1201686,330000	1,400000
