X	Y	Magnitud	Marcas
919851,8	1023684,7	1,7	A
920805,77	844530,53	2,1	A
920939,7	1002671,38	1,9	A
920954,31	1017048,11	3,2	A
920964,65	1027001,25	1,9	A
920991,97	1052437,19	1,5	A
921018,03	1075661,47	1,1	A
921028,23	1084508,85	1,7	A
922036,45	989399,53	2,1	A
922104,53	1055753,72	2	A
922451,07	1314547,98	1,9	A
923181,07	1024787,15	1,9	A
923200,5	1043587,52	1,8	A
924124,89	820199,5	1,8	A
924254,12	987185,65	2	A
924334,15	1066810,44	2,3	A
925221,19	793658,5	2,6	A
925420,93	1045797,03	4,1	B
926379,78	868855,59	2,2	A
926385,15	876596,59	2,3	A
926919,31	1348827,44	1,9	A
927462,88	824620,86	1,8	A
927556,19	955112,17	1,3	A
927630,29	1036947,61	1,7	A
928769,02	1066805,79	2	A
929678,82	811349,48	2	A
929859,23	1048004,41	1,8	A
929862,45	1051322,09	2,1	A
929878,84	1067910,57	1,2	A
930129,26	1279144,75	2,7	A
930752,03	730623,28	1,8	A
930791,28	812454,7	1,4	A
930946,57	1024779,67	1,6	A
931118,86	1188454,65	1,5	A
933177,14	1038048,28	1,4	A
933238,62	1102190,23	1,2	A
934129,13	816876,23	1,4	A
934154,19	861109,64	2	A
934160,95	872168,05	2,6	A
934268,88	1018141,43	2,4	A
934420	1171861,82	1,6	A
935274,93	876590,73	1,5	A
935278,36	882119,94	2,3	A
935319,4	942941,62	2,7	A
936485,01	1014821,94	1,2	A
936488,67	1019245,43	2,3	A
936758,99	1280242,08	1,5	A
937089,19	1512506,71	2,6	A
937217,95	1589933,92	2,5	A
937239,03	1602101,34	3,9	B
937772,75	1201718,3	2,1	A
937777,62	1206142,03	2	A
937931,99	1334433,62	1,6	A
938573,6	811344,84	1,4	A
938585,3	834567,15	1,7	A
938712,86	1025878,85	1,9	A
938719,19	1033619,96	1,5	A
938720,11	1034725,84	2,3	A
939058,33	1352128,07	2	A
939714,12	866635,59	1,3	A
939827,51	1032513,19	1,5	A
940821,22	858894,17	1,6	A
940930,63	1024771,21	1,5	A
941122,16	1230469,04	1,9	A
942031,58	1013711,7	1,3	A
943156,85	1034722,31	1,3	A
943226,16	1118769,27	3,1	A
943332,48	1229360,75	2,1	A
944165,75	878797,27	1,4	A
944254,57	1019239,37	2,3	A
944298,79	1076744,63	2,6	A
945254,53	833458,05	1,5	A
945275,2	875479,21	1,1	A
945502,17	1186227,46	1	A
945504,26	1188439,29	2,4	A
945568,67	1253689,13	2,5	A
946379,76	862208,78	1,7	A
946464,2	1005967,51	1,1	A
946542,33	1109919,31	2,8	A
946775,97	1348800,68	3,5	B
947502,08	884324,65	1,3	A
947510,72	900912,02	1,5	A
947714,37	1185119,51	1,4	A
948600,88	858890,26	2,5	A
948763,52	1116552,84	1,9	A
949066,36	1422900,05	4,1	B
949723,75	883217,72	1,1	A
949728,67	893170,11	1,8	A
949799,41	1015917,97	1,4	A
949954,91	1216083,18	1,9	A
950837,53	888746,28	1,2	A
951028,65	1178481,18	1,6	A
951111,48	1271378,73	2,5	A
952334,26	1389716,18	3,6	B
953155,84	1060150,07	1,3	A
953183,84	1101067,19	1,8	A
954172,2	892062,17	1,4	A
954389,93	1229350,39	1,5	A
955268,21	856675,73	1,6	A
955276,01	875474,48	1,6	A
955426,21	1138665,53	1,5	A
955427	1139771,41	1,1	A
955622,2	1370911,02	3,3	A
956364,76	816866,43	2	A
956498,83	1086688,63	3,1	A
956550,98	1162994,28	1	A
957012,58	1635255,82	2,4	A
957505,24	892060,71	2,3	A
957731,66	1260313,56	2	A
957882,21	1428420,57	2,1	A
958549,14	663161,72	2,4	A
958599,91	850039,62	3,6	B
959725,07	886530,75	2	A
959730,39	899800,47	1,2	A
960826,32	859991,03	1,8	A
960839,57	895376,78	1,6	A
960937,36	1095532,83	1,3	A
962044,3	1093320,46	2,2	A
963105,88	1001534,58	1,2	A
963164,93	1115437,14	2,6	A
963183,03	1146401,6	1,4	A
963211,1	1191742,99	2,1	A
963240,29	1235979,18	2,2	A
964164,4	872153,68	2,8	A
964176,1	905327,79	2,5	A
964269,74	1109907,18	2,7	A
965275,62	872153,31	3,1	A
965283,07	894269,34	1,7	A
965374,19	1103271,41	1,1	A
965376,52	1107694,86	2,7	A
965380,65	1115435,91	2	A
965511,37	1324452,13	2	A
966389,32	879893,54	1,3	A
966391,48	886528,34	1	A
966477,79	1094423,96	2,8	A
966487,36	1113223,6	1,7	A
966496,05	1129811,61	1,4	A
966501,37	1139764,46	1,9	A
966592,55	1291273,12	1,5	A
966768,18	1522424,79	2,7	A
967494,39	859988,85	2,4	A
967500,8	880998,99	2,4	A
967595,25	1113223,03	2,1	A
967635,11	1188422,66	2,5	A
967639,47	1196163,9	2,9	A
968605,42	858882,73	2,7	A
968617,4	898691,44	2,4	A
968701,55	1109904,9	1,9	A
968804,13	1295695,43	1,6	A
969719,55	868834,56	2,1	A
969847,6	1187315,57	1,3	A
969872,6	1233763,26	1,7	A
970835,73	886526,98	1,4	A
972025,39	1109903,39	1,1	A
973054,98	875468,42	3	A
973181,92	1218278,91	1,7	A
974168,35	884314,49	1,6	A
974170,6	893160,86	2,3	A
976389,26	878785	1,7	A
976458,38	1113219,21	1	A
976485,54	1183994,84	1,6	A
978611,99	880996,1	1,1	A
978676,34	1119853,58	2,3	A
978683,45	1140864,95	1,5	A
978687,28	1151923,62	3,9	B
978784,2	1387483,87	2,2	A
979863,71	1335503,42	2	A
979874,15	1359834,31	1,4	A
980835,46	887630,41	2	A
980903,07	1156346,36	2,7	A
980988,54	1387482,88	2,7	A
981998,11	1114323,29	1,9	A
982005,33	1139758,03	1,2	A
982043,47	1260299,57	1,5	A
983108,89	1125381,54	2	A
983114,56	1146392,9	1,3	A
983135,04	1217169,09	1,3	A
984168,41	886524,05	1,2	A
984194,02	1026961,45	1,5	A
984218,5	1133122,27	1,5	A
984221,3	1144180,88	1,3	A
984222,43	1148604,34	1,7	A
984236,65	1201686,33	1,4	A
984283,25	1353196,89	1,7	A
984293,49	1383057,74	1,9	A
985268,9	804696,12	1,8	A
985279,14	884312,3	1,3	A
985348,72	1223803,81	3,6	B
987488,52	759359,39	2,3	A
987498,05	856667,4	3,5	B
987504,49	909745,18	2,2	A
987505,21	915274,15	1,3	A
987536,79	1111004,43	1,2	A
988616,87	923014,58	1,4	A
988618,51	936284,15	1,5	A
988649,04	1135333,03	1	A
988732,03	1493655,49	2,7	A
989725,14	900898,59	1,3	A
989760,97	1161873,55	2,4	A
989770,58	1216061,58	2,4	A
989803,61	1377526,35	1,5	A
989814,07	1422871,15	2,2	A
990860,86	1113215,58	1,3	A
990863,55	1132015,09	1,6	A
990873,33	1196155,47	2,4	A
990904,25	1368678,45	1,5	A
990904,69	1370890,36	2,1	A
991945,25	879888,42	2,3	A
992007,84	1374208,03	2,2	A
993075,22	1099945,13	2	A
993076,03	1107686,06	1,7	A
993077,45	1120956,26	3,1	A
993077,81	1124273,82	1,6	A
993081,64	1158555,48	1,4	A
993090,46	1231543,54	2,7	A
993124,57	1463792,21	3,2	A
993136,8	1534577,61	2,7	A
994164,72	826810,86	2,2	A
994188,83	1159661,22	1,4	A
994195,19	1222696,27	2,4	A
994195,54	1226013,95	1,5	A
996406,45	1216060,75	1,3	A
997501,26	896474,93	2,2	A
997509,41	1145284,77	1,9	A
997514,52	1261402,45	1,6	A
997517,98	1331075,48	1,5	A
998620,52	1296791,64	1,7	A
999724,02	1140861,29	1,6	A
999724,17	1172931,36	2,5	A
999724,56	1252555,16	2,6	A
1000826,33	1448307,67	2	A
1000829,39	1277991,04	1,8	A
1000829,69	1259190,59	1,5	A
1000830,81	1185095,97	1,4	A
1000833,74	935177,64	3,1	A
1001931,46	1344346,73	2,1	A
1001939,86	1106579,87	1,3	A
1001945,34	879888,13	1,1	A
1003039,75	1261402,48	1,5	A
1003039,88	1259190,67	2,1	A
1004141,83	1297897,71	1,9	A
1005213,44	1564440,69	2,4	A
1005261,66	1133120,5	1,2	A
1005263,57	1109897,6	1,9	A
1005263,75	1107685,9	2,3	A
1005275,37	940706,78	1,5	A
1006303,77	1605365,48	2	A
1006333,85	1418446,49	2,3	A
1006368,74	1137544,04	1,4	A
1006384,83	953976,46	2	A
1006387,91	909744,59	2,5	A
1007440,1	1389691,39	2,5	A
1007447,28	1345453,22	2,8	A
1007457,22	1280203,4	1,5	A
1007474,59	1150814,49	1,2	A
1007478,68	1116532,92	1,7	A
1007500,46	886523,1	1,2	A
1008504,58	1568865,54	2,6	A
1008544,93	1375314,09	2,1	A
1008554,23	1324440,56	1,8	A
1008561,3	1283521,32	1,6	A
1008573,38	1208320,09	1,8	A
